Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         1        0.000021        0.000021             0.000339             0.000339 set_start_to_end_pos_glyph     start_to_end_pos_glyph\start_to_end_pos_glyph.py:37
         2        0.000020        0.000010             0.001546             0.000773 update_tka_glyph               tka_glyph\tka_glyph.py:43
         4        0.000020        0.000005             0.000939             0.000235 set_number                     turns_number_group\turns_column.py:58
         7        0.000020        0.000003             0.000043             0.000006 update_display                 turns_widget\motion_type_label.py:16
         1        0.000020        0.000020             0.000021             0.000021 _calculate_beat_size           layout_beat_frame\layout_beat_frame.py:103
         2        0.000020        0.000010             0.000044             0.000022 update_state                   prop_rot_dir_button_manager\prop_rot_dir_btn_state.py:17
         2        0.000019        0.000010             0.000145             0.000073 _setup_prop_svg_renderer       svg_manager\prop_svg_manager.py:46
         1        0.000019        0.000019             0.000103             0.000103 resizeEvent                    labels\current_word_label.py:33
         2        0.000019        0.000010             0.001039             0.000519 update_turns_column            turns_number_group\turns_column.py:100
         5        0.000019        0.000004             0.000041             0.000008 generate_turns_tuple           turns_tuple_generators\type3_turns_tuple_generator.py:8
         1        0.000019        0.000019             0.000040             0.000040 resizeEvent                    image_export\loading_spinner.py:278
         1        0.000019        0.000019             0.000177             0.000177 update_pictograph_state        state\pictograph_state.py:32
         1        0.000019        0.000019             0.000019             0.000019 update_for_turns_change        prop_rot_dir_button_manager\prop_rot_dir_button_manager.py:89
        13        0.000018        0.000001             0.000020             0.000002 resizeEvent                    prop_type\prop_button.py:100
         1        0.000018        0.000018             0.000021             0.000021 _update_position               image_export\loading_spinner.py:224
         1        0.000017        0.000017             0.000138             0.000138 resizeEvent                    layout_beat_frame\layout_beat_frame.py:116
         2        0.000016        0.000008             0.000539             0.000269 update_prop                    prop\prop_updater.py:13
        17        0.000016        0.000001             0.000201             0.000012 set_selected                   styles\styled_button.py:404
         1        0.000015        0.000015             0.000015             0.000015 _validate_transition           turns_adjustment_manager\turns_state.py:28
         2        0.000015        0.000008             0.000034             0.000017 update_reversal_symbols        glyphs\reversal_glyph.py:43
         2        0.000015        0.000007             0.000025             0.000012 _set_svg_mirror                arrow\arrow_mirror_handler.py:38
         2        0.000014        0.000007             0.000163             0.000081 _calculate_adjustment          arrow_placement_manager\arrow_adjustment_calculator.py:44
         2        0.000014        0.000007             0.000028             0.000014 update_prop_rot_angle          prop\prop_rot_angle_manager.py:86
